本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688368,晶丰明源,2019-11-20,66.66,68.3,65.67,67.11,66.65,1264217.0,84746405.0,944593383.0,4133976000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4250.53,3747.54,2266.5,2449.56,1957.55,2277.49,0.0,0.0,,,,,,,电子,半导体,集成电路,66.9,67.13,67.83
sh688368,晶丰明源,2019-11-21,66.7,66.98,64.55,64.71,67.11,974446.0,64184120.0,910812663.0,3986136000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2828.54,2391.02,666.18,2419.24,2143.03,960.89,133.41,0.0,,,,,,,电子,半导体,集成电路,66.39,66.56,66.51
sh688368,晶丰明源,2019-11-22,64.77,65.74,62.62,63.0,64.71,765891.0,49042647.0,886743900.0,3880800000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2501.74,2472.11,731.29,1347.52,1671.2,1084.61,0.0,0.0,,,,,,,电子,半导体,集成电路,64.78,65.25,65.15
sh688368,晶丰明源,2019-11-25,62.88,66.8,62.53,66.61,63.0,1608589.0,104147644.0,937555733.0,4103176000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5615.08,4951.77,3127.91,1909.15,1221.81,2875.82,385.58,613.63,,,,,,,电子,半导体,集成电路,63.02,64.41,63.5
sh688368,晶丰明源,2019-11-26,66.5,69.55,65.66,68.5,66.61,1482051.0,100039402.0,964158050.0,4219600000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4389.74,3944.71,2151.94,2524.92,3015.15,3351.13,263.93,0.0,,,,,,,电子,半导体,集成电路,66.75,66.99,67.0
sh688368,晶丰明源,2019-11-27,68.0,70.3,67.4,68.18,68.5,1322419.0,91392361.0,959653954.0,4199888000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3683.6,3541.97,2995.25,3372.96,2336.06,2224.25,124.27,0.0,,,,,,,电子,半导体,集成电路,68.47,68.66,68.8
sh688368,晶丰明源,2019-11-28,67.11,71.85,67.11,70.28,68.18,1738412.0,122738402.0,989212084.0,4329248000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5725.09,4586.32,3880.19,4074.2,2268.61,3306.37,399.89,306.88,,,,,,,电子,半导体,集成电路,68.18,69.59,70.95
sh688368,晶丰明源,2019-11-29,70.28,71.58,69.53,70.55,70.28,824138.0,57917913.0,993012415.0,4345880000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2514.79,2696.54,1475.78,1665.65,1617.94,1246.32,0.0,0.0,,,,,,,电子,半导体,集成电路,70.06,70.07,70.6
sh688368,晶丰明源,2019-12-02,70.96,72.25,69.2,69.76,70.55,853292.0,60490476.0,981892928.0,4297216000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2309.51,2629.74,1944.0,1755.74,1795.5,1547.69,0.0,115.83,,,,,,,电子,半导体,集成电路,71.05,71.97,71.32
sh688368,晶丰明源,2019-12-03,69.76,69.76,67.15,68.73,69.76,745814.0,50947523.0,967395369.0,4233768000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2132.32,2141.14,1039.99,1549.7,1651.41,1170.1,271.0,233.79,,,,,,,电子,半导体,集成电路,68.61,68.47,68.26
