股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801564,绿色电力,-1383,0.169,-965641,130856948,5449213,-6414854,1.312,2429224937920,0,44,0.548,-680786024,19729534767,1623981473,-2304767497,0.821,2422038588957,-142268000
801565,海工装备,9,0.09,0,91189925,0,0,1.472,695255247341,0,17,0.174,20117272,17150697945,163065348,-142948076,1.233,693710616406,0
801567,NFT概念,35,0.354,1673503,94319899,9810510,-8137007,1.659,222569754518,0,21,0.218,-69252965,12122949174,410618553,-479871518,0.933,222755779435,-25799000
801571,一季报增长,-22186,0.145,9564639,3783443801,123480423,-113915784,1.805,44847613521280,4061240,-52,0.59,-1245263782,507590961553,10611672777,-11856936559,0.974,45106799260864,-101415000
801574,年报增长,-10782,0.194,-9437408,2199059524,75471498,-84908906,1.437,31597183501248,-11881900,-140,0.702,-509610635,322668079153,4793709181,-5303319816,0.961,31782580574656,-56028800
801575,智慧矿山,9,0.092,-459600,25599701,0,-459600,1.595,94353311616,0,56,0.563,-1700781,3313054848,39387590,-41088371,1.052,94193419863,0
801576,石墨化,6,0.066,-809539,39582977,494040,-1303579,1.261,823814439316,0,210,2.102,-18057054,10723962376,90907122,-108964176,1.25,844040298710,0
801578,铀矿,23,0.232,0,3213956,0,0,0.769,91050793382,0,137,3.113,0,1180253856,0,0,1.461,92915684009,0
801579,垃圾发电,14,0.143,-591008,13005635,1226246,-1817254,1.577,303251231637,0,63,0.632,-10537640,2461395708,235738915,-246276555,0.892,305249910669,8346070
801580,发电机,25,0.254,-348098,2853851,0,-348098,0.631,121003321978,0,57,0.579,-22273964,1107779733,136520087,-158794051,1.064,121437980923,-15910500
801584,数字经济,-6290,0.113,79481382,3073867683,409464113,-329982731,2.828,8968736540352,95110300,2525,0.378,-2087653047,296471364262,21723859589,-23811512636,0.998,9000855851456,-86507400
801587,光热发电,12,0.124,-497662,27346154,0,-497662,2.36,290496109470,0,56,0.568,-2008920,3347455821,130546696,-132555616,0.981,291662001913,3610000
801606,成渝经济圈,16,0.163,-2417478,9702225,5398710,-7816188,8.256,38045092471,-4292330,109,1.097,-17166846,433635960,54954159,-72121005,1.57,38411178708,-15429600
801612,脑机接口,32,-1.478,32405960,1037527054,107423202,-75017242,13.046,261261428942,30076200,-1604,-4.945,-713971546,24378711447,1495708708,-2209680254,1.284,252318475957,-131590000
801613,幽门螺杆菌,17,0.17,-484604,3463897,0,-484604,0.601,116602670427,0,-9,-0.096,-11491869,1337289210,34053114,-45544983,0.951,115787487194,0
801614,电子纸,-315,0.848,1135581,15400473,1550814,-415233,1.393,88074572224,0,-88,-0.307,-15439951,1822880554,119281304,-134721255,0.839,88990861843,0
801623,中俄贸易,-2,-0.021,-78470,78947616,442498,-520968,11.745,330813967699,0,70,0.702,-16145600,4312817839,120100421,-136246021,0.947,331599759642,0
801625,在线办公,14,0.147,858573,215155703,3800935,-2942362,2.316,526915005402,0,-12,0.864,-48790927,16831515291,50090788,-98881715,0.989,528064928083,0
801628,资产管理,22,0.221,0,5542247,0,0,1.02,194193570623,0,168,1.683,8753896,1699224711,49353195,-40599299,1.081,196065556513,0
801631,次新股,-2598,0.011,22345737,555514347,64222822,-41877085,2.471,543170134592,15911300,297,0.474,-166867109,49974862935,2194503619,-2361370728,0.946,542924033303,6951890
801632,县城城镇化,-1362,0.373,-2323113,35046179,1045656,-3368769,1.891,255355296768,0,78,1.127,-76553121,5092394451,206522825,-283075946,0.983,257805378990,15130000
801635,平台经济,-3583,0.203,425456,664294762,39883242,-39457786,2.559,2935944588096,5761500,120,1.54,-121608575,70587683790,1791958159,-1913566734,1.102,2977960195104,28180800
801636,露营经济,-162,0.375,1479691,13914125,4698643,-3218952,1.453,79775843232,0,92,0.92,-21340310,1470238988,124313826,-145654136,0.981,79827232044,-3215100
801637,潮玩,67,0.673,-7492561,103555686,52663829,-60156390,7.829,54306777098,453092,37,1.115,109670292,3272677647,487582535,-377912243,1.013,54627660068,125441000
801639,成交所概念,12,0.123,0,55114804,0,0,4.946,99840725671,0,-22,-0.229,-1842810,6355846446,35173830,-37016640,1.246,98938790778,0
801640,就业概念,-35,-0.359,-532221,42553329,390869,-923090,1.508,88465360183,0,-27,-0.274,-46566331,4358166859,55500305,-102066636,0.683,88605927164,-3104860
801642,石英材料,3,0.037,0,4456012,0,0,0.779,207983151891,0,91,1.829,-40813202,1520667306,76213840,-117027042,1.223,208745241946,7560640
801646,信托概念,49,0.497,0,49780722,0,0,11.052,608200922694,0,86,0.865,19377643,3655987674,79086757,-59709114,0.99,608637443779,0
801648,数字藏品,96,0.962,-300672,442285144,1607296,-1907968,6.723,363131530214,0,105,1.952,-14212294,23910496998,52036787,-66249081,1.433,364768229904,0
801649,两轮车,14,0.143,0,36422859,0,0,4.957,109558237874,0,36,0.366,-20040989,2097552898,84276874,-104317863,1.553,110045352954,6647640
801650,SHEIN概念,7,0.07,350063,3651756,350063,0,1.673,25346898369,0,-16,-0.161,-2136020,438533743,18269825,-20405845,0.938,25259740756,0
801651,湖南,-1384,0.151,-1408177,226098980,2576640,-3984817,2.835,1255505072448,0,85,1.154,-106350868,23939084753,379150985,-485501853,1.099,1265770290339,-18607400
801653,霍乱概念,10,0.104,0,2255339,0,0,0.747,55849134586,0,-68,-0.684,2428077,808740266,36243029,-33814952,0.952,55356283881,3590280
801654,眼科医疗,-6,-0.065,347880,55321736,347880,0,1.422,795365761249,0,-55,-0.559,-11597952,7154204489,84786329,-96384281,0.742,793802127391,-10755300
801655,隐形冠军概念,28,0.289,2304091,69808118,2712091,-408000,0.768,1056120828830,0,65,0.652,11062739,15675869117,192281124,-181218385,0.859,1056807485689,0
801656,热泵,12,0.128,-414700,6247687,0,-414700,0.771,126995827589,0,154,1.542,-14053865,1904691309,48574856,-62628721,0.96,129108397943,0
801660,通信,8,0.122,83819904,943164540,254346089,-170526185,2.118,3149621925606,73416600,1,0.154,-302117267,96816616327,11803913236,-12106030503,0.915,3144936708815,380624000
801662,火电灵活改造,19,0.199,195349,6567090,708444,-513095,0.738,192737907317,0,95,1.95,6021152,1939444095,76273165,-70252013,0.863,193290491188,4540000
801664,中芯国际概念,19,0.191,-462393,74618852,0,-462393,0.886,1216322512063,0,48,0.49,43451184,17206465878,235679652,-192228468,0.944,1216726161294,3479580
801672,web3.0,59,0.594,-3421842,857651582,5649544,-9071386,3.499,700424567223,0,11,0.47,-19775214,57481867954,236395697,-256170911,1.022,698253803790,-1145480
801676,地产链,-15583,0.203,15332911,592811399,67607295,-52274384,3.576,4181113964352,0,6752,2.638,2751168113,70362416497,10827805976,-8076637863,1.269,4300893347296,1050600000
801689,客运,7,0.078,-210419,8696370,1329270,-1539689,1.12,308329113149,0,138,1.387,-20455266,1273027070,219000334,-239455600,0.808,309224509699,-30408900
801694,非金属材料,0,0.008,349109,8365564,1444333,-1095224,2.632,90651150210,0,210,2.101,-29135057,1217124964,108283454,-137418511,1.614,91865310891,7560640
801700,高压快充,4,0.041,-1034445,60343854,603928,-1638373,1.541,256864871469,0,191,2.25,-33283577,10016956081,482708188,-515991765,0.922,262146714896,18923100
801705,超导概念,30,0.301,391999,8055983,391999,0,0.638,174187591722,0,191,1.918,82914709,3967982630,170579764,-87665055,1.128,178621290346,35958300
801719,腾讯概念,34,0.344,2514185,543381705,7434861,-4920676,2.419,1526956738998,0,0,0.284,15825262,54916819406,368600201,-352774939,1.06,1522279510416,-20722900
801733,中特估,20,0.203,-1918556,447748981,3614946,-5533502,1.3,14884185036891,0,51,0.511,260743606,71839245560,1312723403,-1051979797,0.946,14912457302447,179905000
801735,中船系,-29,-0.293,-279792,72528314,2033313,-2313105,1.487,358007609423,0,-241,-2.41,-84222649,10875495367,164369046,-248591695,1.027,350731236710,0
801773,热力,-18,-0.184,-2875409,77530206,8856516,-11731925,3.109,87436129984,0,-231,-0.419,-38184278,4444483296,199889155,-238073433,0.865,88700262138,3430870
